station_id,station_reason,temperature_obs,time_utc,timestamp_pipeline,wind_obs
SN30247,fallback_data,15.0,2026-05-09 11:30:00+00:00,2026-05-09 12:48:14.689413,
SN30247,fallback_data,14.2,2026-05-09 11:40:00+00:00,2026-05-09 12:48:14.689419,
SN30247,fallback_data,14.2,2026-05-09 11:50:00+00:00,2026-05-09 12:48:14.689423,
SN30247,fallback_data,14.3,2026-05-09 12:00:00+00:00,2026-05-09 12:48:14.689425,
SN30247,fallback_data,14.6,2026-05-09 12:10:00+00:00,2026-05-09 12:48:14.689428,
SN30247,fallback_data,15.8,2026-05-09 12:20:00+00:00,2026-05-09 12:48:14.689431,
SN30247,fallback_data,14.7,2026-05-09 12:30:00+00:00,2026-05-09 12:48:14.689434,
SN30247,fallback_data,5.2,2026-05-10 00:10:00+00:00,2026-05-10 12:06:40.584195+00:00,
SN30247,fallback_data,5.3,2026-05-10 00:20:00+00:00,2026-05-10 12:06:40.584202+00:00,
SN30247,fallback_data,5.4,2026-05-10 00:30:00+00:00,2026-05-10 12:06:40.584204+00:00,
SN30247,fallback_data,5.5,2026-05-10 00:40:00+00:00,2026-05-10 12:06:40.584206+00:00,
SN30247,fallback_data,5.5,2026-05-10 00:50:00+00:00,2026-05-10 12:06:40.584207+00:00,
SN30247,fallback_data,5.5,2026-05-10 01:00:00+00:00,2026-05-10 12:06:40.584209+00:00,
SN30247,fallback_data,5.8,2026-05-10 01:10:00+00:00,2026-05-10 12:06:40.584210+00:00,
SN30247,fallback_data,6.0,2026-05-10 01:20:00+00:00,2026-05-10 12:06:40.584213+00:00,
SN30247,fallback_data,6.0,2026-05-10 01:30:00+00:00,2026-05-10 12:06:40.584215+00:00,
SN30247,fallback_data,5.9,2026-05-10 01:40:00+00:00,2026-05-10 12:06:40.584216+00:00,
SN30247,fallback_data,6.0,2026-05-10 01:50:00+00:00,2026-05-10 12:06:40.584218+00:00,
SN30247,fallback_data,6.0,2026-05-10 02:00:00+00:00,2026-05-10 12:06:40.584219+00:00,
SN30247,fallback_data,6.1,2026-05-10 02:10:00+00:00,2026-05-10 12:06:40.584220+00:00,
SN30247,fallback_data,6.0,2026-05-10 02:20:00+00:00,2026-05-10 12:06:40.584221+00:00,
SN30247,fallback_data,5.9,2026-05-10 02:30:00+00:00,2026-05-10 12:06:40.584222+00:00,
SN30247,fallback_data,6.0,2026-05-10 02:40:00+00:00,2026-05-10 12:06:40.584223+00:00,
SN30247,fallback_data,6.2,2026-05-10 02:50:00+00:00,2026-05-10 12:06:40.584225+00:00,
SN30247,fallback_data,6.2,2026-05-10 03:00:00+00:00,2026-05-10 12:06:40.584226+00:00,
SN30247,fallback_data,6.3,2026-05-10 03:10:00+00:00,2026-05-10 12:06:40.584227+00:00,
SN30247,fallback_data,6.3,2026-05-10 03:20:00+00:00,2026-05-10 12:06:40.584228+00:00,
SN30247,fallback_data,6.4,2026-05-10 03:30:00+00:00,2026-05-10 12:06:40.584229+00:00,
SN30247,fallback_data,6.3,2026-05-10 03:40:00+00:00,2026-05-10 12:06:40.584230+00:00,
SN30247,fallback_data,6.2,2026-05-10 03:50:00+00:00,2026-05-10 12:06:40.584232+00:00,
SN30247,fallback_data,6.2,2026-05-10 04:00:00+00:00,2026-05-10 12:06:40.584233+00:00,
SN30247,fallback_data,6.3,2026-05-10 04:10:00+00:00,2026-05-10 12:06:40.584234+00:00,
SN30247,fallback_data,6.2,2026-05-10 04:20:00+00:00,2026-05-10 12:06:40.584236+00:00,
SN30247,fallback_data,6.0,2026-05-10 04:30:00+00:00,2026-05-10 12:06:40.584236+00:00,
SN30247,fallback_data,6.0,2026-05-10 04:40:00+00:00,2026-05-10 12:06:40.584237+00:00,
SN30247,fallback_data,5.9,2026-05-10 04:50:00+00:00,2026-05-10 12:06:40.584238+00:00,
SN30247,fallback_data,5.4,2026-05-10 05:00:00+00:00,2026-05-10 12:06:40.584240+00:00,
SN30247,fallback_data,5.3,2026-05-10 05:10:00+00:00,2026-05-10 12:06:40.584241+00:00,
SN30247,fallback_data,5.1,2026-05-10 05:20:00+00:00,2026-05-10 12:06:40.584242+00:00,
SN30247,fallback_data,4.9,2026-05-10 05:30:00+00:00,2026-05-10 12:06:40.584243+00:00,
SN30247,fallback_data,4.8,2026-05-10 05:40:00+00:00,2026-05-10 12:06:40.584245+00:00,
SN30247,fallback_data,4.7,2026-05-10 05:50:00+00:00,2026-05-10 12:06:40.584246+00:00,
SN30247,fallback_data,4.6,2026-05-10 06:00:00+00:00,2026-05-10 12:06:40.584247+00:00,
SN30247,fallback_data,4.3,2026-05-10 06:10:00+00:00,2026-05-10 12:06:40.584248+00:00,
SN30247,fallback_data,4.1,2026-05-10 06:20:00+00:00,2026-05-10 12:06:40.584248+00:00,
SN30247,fallback_data,4.0,2026-05-10 06:30:00+00:00,2026-05-10 12:06:40.584250+00:00,
SN30247,fallback_data,3.7,2026-05-10 06:40:00+00:00,2026-05-10 12:06:40.584251+00:00,
SN30247,fallback_data,3.4,2026-05-10 06:50:00+00:00,2026-05-10 12:06:40.584252+00:00,
SN30247,fallback_data,3.3,2026-05-10 07:00:00+00:00,2026-05-10 12:06:40.584253+00:00,
SN30247,fallback_data,3.2,2026-05-10 07:10:00+00:00,2026-05-10 12:06:40.584254+00:00,
SN30247,fallback_data,3.1,2026-05-10 07:20:00+00:00,2026-05-10 12:06:40.584256+00:00,
SN30247,fallback_data,3.1,2026-05-10 07:30:00+00:00,2026-05-10 12:06:40.584257+00:00,
SN30247,fallback_data,3.5,2026-05-10 07:40:00+00:00,2026-05-10 12:06:40.584258+00:00,
SN30247,fallback_data,3.7,2026-05-10 07:50:00+00:00,2026-05-10 12:06:40.584259+00:00,
SN30247,fallback_data,3.9,2026-05-10 08:00:00+00:00,2026-05-10 12:06:40.584260+00:00,
SN30247,fallback_data,4.3,2026-05-10 08:10:00+00:00,2026-05-10 12:06:40.584262+00:00,
SN30247,fallback_data,4.2,2026-05-10 08:20:00+00:00,2026-05-10 12:06:40.584262+00:00,
SN30247,fallback_data,4.7,2026-05-10 08:30:00+00:00,2026-05-10 12:06:40.584263+00:00,
